Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,9002,Receive MFG KD,Y9308JY,,SCREW,,0,,"13,202",ST,,0.74
2Q00,YIL,9002,Receive MFG KD,X9947QF,,796A981 CAP,,0,,100,ST,,8.89
2Q00,YIL,9002,Receive MFG KD,F9913WG,,CASE,,0,,27,ST,,"6,989.75"
2Q00,YIL,9002,Receive MFG KD,F9913WH,,CASE,,0,,135,ST,,"6,989.01"
2Q00,YIL,9002,Receive MFG KD,F9913WJ,,CASE,,0,,20,ST,,"6,990.49"
2Q00,YIL,9002,Receive MFG KD,F9920BG,,AMP ASSY,,0,,1,ST,,"1,964.64"
2Q00,YIL,9002,Receive MFG KD,F9913TA,,COVER,,0,,"3,040",ST,,276.48
2Q00,YIL,9002,Receive MFG KD,F9913SE,,METER COVER,,0,,107,ST,,804.97
2Q00,YIL,9002,Receive MFG KD,F9913SA,,TERMINAL COVER,,0,,114,ST,,790.89
2Q00,YIL,9002,Receive MFG KD,F9913RW,,CASE,,0,,13,ST,,"1,610.69"
2Q00,YIL,9002,Receive MFG KD,F9913RV,,CASE,,0,,120,ST,,"1,610.69"
2Q00,YIL,9002,Receive MFG KD,F9913RU,,CASE,,0,,15,ST,,"1,610.69"
2Q00,YIL,9002,Receive MFG KD,F9913QJ,,CASE,,0,,67,ST,,"1,193.37"
2Q00,YIL,9002,Receive MFG KD,F9913QH,,CASE,,0,,"2,300",ST,,"1,194.85"
2Q00,YIL,9002,Receive MFG KD,F9913QG,,CASE,,0,,"1,868",ST,,"1,174.10"
2Q00,YIL,9002,Receive MFG KD,F9913MZ,,PLUG,,0,,211,ST,,211.99
2Q00,YIL,9002,Receive MFG KD,F9913MY,,PLUG,,0,,414,ST,,89.69
2Q00,YIL,9002,Receive MFG KD,F9913ME,,FEED THROUGH CAP,,0,,50,ST,,151.95
2Q00,YIL,9002,Receive MFG KD,F9920BN,,AMP ASSY,,0,,580,ST,,"1,975.36"
2Q00,YIL,9002,Receive MFG KD,F9940WF,,PIPE ASSY,,0,,"3,300",ST,,36.32
2Q00,YIL,9002,Receive MFG KD,F9940WG,,HOOK,,0,,380,ST,,14.08
2Q00,YIL,9002,Receive MFG KD,F9921VG,,LPT ASSY,,0,,826,ST,,785.70
2Q00,YIL,9002,Receive MFG KD,F9921VF,,LPT ASSY,,0,,10,ST,,"1,137.79"
2Q00,YIL,9002,Receive MFG KD,F9921TG,,TERMINAL ASSY,,0,,505,ST,,653.76
2Q00,YIL,9002,Receive MFG KD,F9921TF,,TERMINAL ASSY,,0,,656,ST,,948.02
2Q00,YIL,9002,Receive MFG KD,F9921AH,,AMP ASSY,,0,,"1,945",ST,,"5,926.10"
2Q00,YIL,9002,Receive MFG KD,F9940WJ,,SCREW,,0,,250,ST,,14.08
2Q00,YIL,9002,Receive MFG KD,G9303NC,,O-RING,,0,,"4,700",ST,,0.74
