PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT,
F9900EA,GASCKET,2,,"EJA310E,EJA310J,EJA430E,EJA430J,EJA440E",,,"L,S",,,,,,,,,,GS,
F9900EA,GASCKET,2,,"EJA310E,EJA310J,EJA430E,EJA430J,EJA440E",,,"L,S",W,,,,,,,,,GS,
F9340GE,GASKET,2,,"EJA120E,EJA120J",,,S,,,,,,,,,,GS,
F9300FD,GASKET,2,,EJA130E,,,,,,,,,,,,,GS,
F9900EF,GASKET,2,,EJA110E,,"H,M,V",S,"0,5",,"-8,-9",,,,,GS,,"HD,N2,N3,U1",
F9900EF,GASKET,2,,"EJA310E,EJA430E",,,S,"0,5",,"-8,-9",,,,,GS,,"N2,N3,U1",
F9900EF,GASKET,2,,EJA440E,,,S,5,,"-8,-9",,,,,GS,,"N2,N3,U1",
F9900EH,GASKET,2,,EJA130E,,,S,5,,"-8,-9",,,,,GS,,"N2,N3,U1",
F9340SC,VENT PLUG,2,,"EJA110E,EJA110J,EJA130E,EJA120E,EJA120J",,,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,"K1,K2,K5,K6,U1",
F9340SC,VENT PLUG,1,,"EJA310E,EJA310J,EJA430E,EJA430J,EJA440E",,,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,"K1,K2,K5,K6,U1",
F9340SA,VENT PLUG,2,,"EJA110E,EJA110J,EJA130E,EJA120E,EJA120J",,,S,"0,1,2",,"-8,-9,-B,-U",,,,,,,"GS,K1,K2,K5,K6,N1,N2,N3",
F9340SA,VENT PLUG,1,,"EJA310E,EJA310J,EJA430E,EJA430J,EJA440E",,,S,"0,1,2",,"-8,-9,-B,-U",,,,,,,"GS,K1,K2,K5,K6,N1,N2,N3",
F9340SD,VENT PLUG,2,,"EJA110E,EJA110J,EJA130E,EJA120E,EJA120J",,,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,"K1,K2,K5,K6,U1",
F9340SD,VENT PLUG,1,,"EJA310E,EJA310J,EJA430E,EJA430J,EJA440E",,,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,"K1,K2,K5,K6,U1",
F9340SB,VENT PLUG,2,,"EJA110E,EJA110J,EJA130E,EJA120E,EJA120J",,,S,"3,4,5",,"-8,-9,-B,-U",,,,,,,"GS,K1,K2,K5,K6,N1,N2,N3",
F9340SB,VENT PLUG,1,,"EJA310E,EJA310J,EJA430E,EJA430J,EJA440E",,,S,"3,4,5",,"-8,-9,-B,-U",,,,,,,"GS,K1,K2,K5,K6,N1,N2,N3",
F9311AA,VENT PLUG,2,,"EJA110E,EJA110J,EJA130E,EJA120E,EJA120J",,,S,"0,1,2",,"-2,-3,-6,-7",,,,,U1,,"K1,K2,K5,K6",
F9311AA,VENT PLUG,1,,"EJA310E,EJA310J,EJA430E,EJA430J,EJA440E",,,S,"0,1,2",,"-2,-3,-6,-7",,,,,U1,,"K1,K2,K5,K6",
F9311AG,VENT PLUG,2,,"EJA110E,EJA110J,EJA130E,EJA120E,EJA120J",,,S,"3,4,5",,"-2,-3,-6,-7",,,,,U1,,"K1,K2,K5,K6",
